Timestamp,Batch_ID,Product_Code,Machine_ID,Shift,Material_Type,Target_Tube_OD_mm,Target_Tube_ID_mm,Target_Wall_Thickness_mm,OD_Tolerance_mm,ID_Tolerance_mm,Wall_Tolerance_mm,Braid_Layers_Planned,Braid_Type_Planned,Cover_Required,Final_Customer_OD_mm,Vacuum_bar,Screw_RPM,Zone1_Temp_C,Zone2_Temp_C,Zone3_Temp_C,Die_Temp_C,Melt_Pressure_bar,Puller_Speed_m_min,Line_Speed_m_min,Cooling_Water_Temp_C,Material_Moisture_pct,Actual_Tube_OD_mm,Actual_Tube_ID_mm,Actual_Wall_Thickness_mm,OD_Deviation_mm,ID_Deviation_mm,Wall_Deviation_mm,Adjustment_Count,Defect_Status,Defect_Type
2026-01-01 00:30:00,B100010,TP-108,EXT-02,B,PA11,8.0,3.0,2.5,0.1,0.1,0.15,1,SS Wire,No,8.758,-0.6714,59.75,194.84,203.48,209.57,218.02,163.14,17.05,16.794,26.3,0.0222,8.031,3.105,2.465,0.031,0.105,-0.035,1,Fail,ID Out of Tolerance
2026-01-01 00:33:00,B100011,TP-104,EXT-02,C,PVDF,4.0,2.0,1.0,0.1,0.1,0.12,2,Aramid,No,5.551,-0.492,53.83,201.72,210.9,227.91,232.17,158.74,19.704,19.757,22.25,0.0276,4.066,2.049,0.998,0.066,0.049,-0.002,2,Pass,None
2026-01-01 00:36:00,B100012,TP-108,EXT-02,B,Hytrel,12.0,7.0,2.5,0.15,0.15,0.1,3,Aramid,No,14.076,-0.5764,58.47,171.73,180.19,193.69,202.15,188.14,15.115,14.602,21.79,0.1326,11.948,7.021,2.485,-0.052,0.021,-0.015,2,Pass,None
2026-01-01 00:39:00,B100013,TP-108,EXT-03,C,PU,12.0,10.0,1.0,0.15,0.15,0.12,1,SS Wire,Yes,13.963,-0.6725,58.21,168.66,174.36,186.41,196.26,180.9,15.81,15.812,22.24,0.0647,11.998,9.882,1.049,-0.002,-0.118,0.049,1,Pass,None
2026-01-01 00:42:00,B100014,TP-105,EXT-03,C,PA11,20.0,18.0,1.0,0.2,0.2,0.08,1,SS Wire,No,20.686,-0.7469,54.49,196.11,196.7,208.17,217.21,229.1,11.946,11.987,25.02,0.042,19.745,17.836,0.943,-0.255,-0.164,-0.057,2,Fail,OD Out of Tolerance
2026-01-01 00:45:00,B100015,TP-120,EXT-02,C,PA12,10.0,5.0,2.5,0.15,0.15,0.08,1,SS Wire,Yes,11.325,-0.6994,49.78,182.48,199.09,203.1,202.69,218.55,12.835,12.492,,0.0701,10.081,5.071,2.518,0.081,0.071,0.018,0,Pass,None
2026-01-01 00:48:00,B100016,TP-106,EXT-03,C,Hytrel,8.0,5.0,1.5,0.1,0.1,0.08,0,None,No,8.0,-0.6185,55.79,176.59,185.8,192.63,200.36,165.45,16.906,16.808,23.27,0.2257,7.995,4.878,1.552,-0.005,-0.122,0.052,2,Fail,ID Out of Tolerance
2026-01-01 00:51:00,B100017,TP-104,EXT-03,B,PA12,16.0,13.5,1.25,0.2,0.2,0.15,2,Polyester,Yes,18.038,-0.7754,70.4,180.65,199.7,211.73,200.44,246.47,15.17,14.99,21.9,0.0701,16.039,13.34,1.35,0.039,-0.16,0.1,0,Pass,None
2026-01-01 00:54:00,B100018,TP-111,EXT-03,A,PU,6.0,4.0,1.0,0.1,0.1,0.12,3,SS Wire,Yes,9.345,-0.4807,54.04,164.19,179.76,183.08,187.64,143.47,17.609,17.436,23.01,0.1657,5.898,3.886,1.011,-0.102,-0.114,0.011,2,Fail,ID Out of Tolerance
2026-01-01 00:57:00,B100019,TP-107,EXT-02,B,Hytrel,12.0,9.5,1.25,0.15,0.15,0.08,3,SS Wire,Yes,15.238,-0.679,58.42,175.97,190.76,199.57,196.31,182.03,12.242,12.507,21.49,0.0459,12.12,9.541,1.302,0.12,0.041,0.052,3,Pass,None
2026-01-01 01:00:00,B100020,TP-110,EXT-01,A,PU,20.0,16.0,2.0,0.2,0.2,0.15,3,Aramid,No,21.997,-0.753,79.63,168.96,174.28,183.27,190.55,255.87,10.399,10.561,21.1,0.135,19.988,15.768,2.084,-0.012,-0.232,0.084,4,Fail,ID Out of Tolerance
2026-01-01 01:03:00,B100021,TP-115,EXT-01,B,PA11,4.0,2.5,0.75,0.1,0.1,0.15,1,Aramid,No,4.476,-0.5022,52.63,183.58,205.06,207.82,209.71,170.56,19.202,19.539,23.31,0.0544,3.966,2.481,0.741,-0.034,-0.019,-0.009,2,Pass,None
2026-01-01 01:06:00,B100022,TP-102,EXT-02,C,PVDF,20.0,18.0,1.0,0.2,0.2,0.1,0,None,Yes,20.718,-0.7692,68.03,212.28,214.18,226.56,224.83,222.24,14.232,14.96,18.55,0.0495,19.921,17.949,0.982,-0.079,-0.051,-0.018,1,Pass,None
2026-01-01 01:09:00,B100023,TP-111,EXT-02,B,PU,6.0,4.0,1.0,0.1,0.1,0.08,1,Polyester,Yes,7.653,-0.5045,61.31,166.32,180.85,179.81,190.0,172.25,13.779,14.163,25.48,0.0459,6.091,4.166,0.962,0.091,0.166,-0.038,2,Fail,ID Out of Tolerance
2026-01-01 01:12:00,B100024,TP-101,EXT-01,A,PU,10.0,7.5,1.25,0.15,0.15,0.1,2,Polyester,No,11.284,-0.6765,50.52,172.18,182.89,187.66,192.7,190.25,16.15,15.613,22.27,0.0605,10.037,7.579,1.239,0.037,0.079,-0.011,1,Pass,None
2026-01-01 01:15:00,B100025,TP-101,EXT-01,A,PA12,6.0,2.0,2.0,0.1,0.1,0.12,2,SS Wire,Yes,8.308,-0.5488,43.04,189.79,200.89,204.46,208.01,148.31,15.622,15.393,20.63,0.1086,5.97,2.189,1.909,-0.03,0.189,-0.091,2,Fail,ID Out of Tolerance
2026-01-01 01:18:00,B100026,TP-102,EXT-03,C,PA11,6.0,4.0,1.0,0.1,0.1,0.12,2,SS Wire,Yes,8.562,-0.5073,48.29,195.41,202.29,207.8,222.29,149.67,18.214,18.684,22.92,0.0564,5.938,3.947,0.998,-0.062,-0.053,-0.002,0,Pass,None
2026-01-01 01:21:00,B100027,TP-104,EXT-03,C,PA12,12.0,8.0,2.0,0.15,0.15,0.1,0,None,No,12.0,-0.6147,55.01,195.08,200.27,201.94,206.63,194.27,15.658,15.52,20.26,,11.843,7.981,1.921,-0.157,-0.019,-0.079,2,Fail,OD Out of Tolerance
2026-01-01 01:24:00,B100028,TP-107,EXT-03,B,PA12,10.0,5.0,2.5,0.15,0.15,0.08,2,Aramid,Yes,12.418,-0.6907,54.18,183.87,191.87,212.89,210.72,171.43,15.08,14.919,22.2,0.0507,10.097,4.997,2.553,0.097,-0.003,0.053,0,Pass,None
2026-01-01 01:27:00,B100029,TP-119,EXT-01,C,Hytrel,10.0,7.5,1.25,0.15,0.15,0.12,1,SS Wire,No,10.696,-0.6405,59.99,177.54,180.97,194.86,199.37,177.96,16.637,16.754,22.21,0.0675,9.985,7.508,1.246,-0.015,0.008,-0.004,1,Pass,None
2026-01-01 01:30:00,B100030,TP-119,EXT-01,C,PU,10.0,5.0,2.5,0.15,0.15,0.12,1,Polyester,Yes,12.461,-0.6178,55.83,163.04,179.87,184.69,186.63,191.44,17.552,17.452,25.15,0.0551,9.977,5.09,2.447,-0.023,0.09,-0.053,0,Pass,None
2026-01-01 01:33:00,B100031,TP-103,EXT-01,B,PVDF,16.0,11.0,2.5,0.2,0.2,0.1,2,SS Wire,Yes,18.746,-0.6919,64.36,206.59,223.23,228.49,233.25,229.75,12.504,13.102,22.7,0.1582,15.946,11.042,2.466,-0.054,0.042,-0.034,3,Pass,None
2026-01-01 01:36:00,B100032,TP-120,EXT-03,A,PA11,20.0,16.0,2.0,0.2,0.2,0.12,3,Polyester,Yes,24.043,-0.8367,70.29,194.88,198.07,206.63,209.44,240.26,8.593,8.537,19.2,0.0884,20.056,15.933,2.053,0.056,-0.067,0.053,0,Pass,None
2026-01-01 01:39:00,B100033,TP-113,EXT-02,C,PA11,10.0,7.5,1.25,0.15,0.15,0.12,2,Aramid,Yes,11.869,-0.6593,44.44,196.51,203.06,214.54,204.7,162.99,18.066,18.91,23.45,0.0796,9.919,7.474,1.214,-0.081,-0.026,-0.036,2,Pass,None
2026-01-01 01:42:00,B100034,TP-112,EXT-03,B,PA11,6.0,4.0,1.0,0.1,0.1,0.12,0,None,Yes,7.502,-0.5373,42.82,190.47,204.76,209.86,212.5,194.03,18.792,18.596,23.8,0.0617,5.964,4.115,0.926,-0.036,0.115,-0.074,1,Fail,ID Out of Tolerance
2026-01-01 01:45:00,B100035,TP-116,EXT-02,C,PA12,8.0,3.0,2.5,0.1,0.1,0.08,1,Polyester,Yes,9.539,-0.6571,51.27,182.18,195.54,199.46,206.97,182.91,17.415,17.185,17.97,0.0538,7.993,3.056,2.483,-0.007,0.056,-0.017,0,Pass,None
2026-01-01 01:48:00,B100036,TP-110,EXT-02,C,PA12,10.0,7.5,1.25,0.15,0.15,0.1,3,Aramid,Yes,12.553,-0.5858,51.79,187.29,196.64,202.88,212.25,198.4,14.256,13.964,19.03,0.0445,9.935,7.549,1.215,-0.065,0.049,-0.035,0,Pass,None
2026-01-01 01:51:00,B100037,TP-106,EXT-02,B,PA11,4.0,2.5,0.75,0.1,0.1,0.1,2,Polyester,No,5.23,-0.5268,46.44,188.59,205.45,205.62,208.0,143.89,19.974,19.698,27.02,0.1269,4.006,2.586,0.717,0.006,0.086,-0.033,1,Pass,None
2026-01-01 01:54:00,B100038,TP-111,EXT-03,B,PA12,6.0,2.0,2.0,0.1,0.1,0.15,2,Aramid,Yes,9.336,-0.5142,57.42,184.69,198.43,205.32,210.09,189.13,20.976,21.23,21.17,0.0339,6.006,2.107,1.954,0.006,0.107,-0.046,3,Fail,ID Out of Tolerance
2026-01-01 01:57:00,B100039,TP-115,EXT-02,A,Hytrel,6.0,3.5,1.25,0.1,0.1,0.15,1,Polyester,Yes,7.945,-0.5222,50.03,179.69,188.45,191.83,199.61,139.03,17.082,16.611,21.23,0.0595,6.023,3.554,1.223,0.023,0.054,-0.027,0,Pass,None
2026-01-01 02:00:00,B100040,TP-114,EXT-02,C,PA11,20.0,15.0,2.5,0.2,0.2,0.15,1,Polyester,Yes,22.238,-0.7823,63.39,193.94,199.07,206.39,214.29,243.4,11.17,10.819,21.91,0.1041,19.881,14.952,2.474,-0.119,-0.048,-0.026,0,Pass,None
2026-01-01 02:03:00,B100041,TP-104,EXT-03,A,PU,8.0,3.0,2.5,0.1,0.1,0.1,2,SS Wire,Yes,10.926,-0.7205,49.23,170.34,177.88,186.17,192.18,170.93,14.483,14.665,20.4,0.0329,8.116,2.943,2.572,0.116,-0.057,0.072,2,Fail,OD Out of Tolerance
2026-01-01 02:06:00,B100042,TP-119,EXT-02,B,PU,20.0,18.5,0.75,0.2,0.2,0.1,2,Polyester,Yes,22.598,-0.8454,78.55,165.65,176.41,185.18,187.91,213.7,9.705,8.945,17.57,0.0758,20.204,18.683,0.774,0.204,0.183,0.024,5,Fail,OD Out of Tolerance
2026-01-01 02:09:00,B100043,TP-106,EXT-03,B,PA11,10.0,5.0,2.5,0.15,0.15,0.1,3,Aramid,No,11.558,-0.5893,63.66,196.04,201.62,214.84,213.21,194.82,13.566,13.05,19.19,0.0473,10.116,5.048,2.536,0.116,0.048,0.036,2,Pass,None
2026-01-01 02:12:00,B100044,TP-117,EXT-02,A,PU,10.0,5.0,2.5,0.15,0.15,0.15,1,Aramid,No,10.82,-0.6799,58.98,167.06,175.83,189.66,189.8,185.57,15.735,15.717,20.4,,10.067,4.827,2.622,0.067,-0.173,0.122,1,Fail,ID Out of Tolerance
2026-01-01 02:15:00,B100045,TP-107,EXT-03,B,PU,20.0,16.0,2.0,0.2,0.2,0.12,3,Aramid,Yes,23.448,-0.876,62.19,165.86,177.89,185.25,187.59,213.31,10.387,10.529,20.74,0.0649,20.004,15.945,2.046,0.004,-0.055,0.046,1,Pass,None
2026-01-01 02:18:00,B100046,TP-102,EXT-02,C,PA11,12.0,10.0,1.0,0.15,0.15,0.12,2,Aramid,Yes,14.699,-0.6401,60.33,187.6,199.53,212.0,207.59,177.55,15.271,15.153,20.08,0.0254,12.024,9.862,1.083,0.024,-0.138,0.083,0,Pass,None
2026-01-01 02:21:00,B100047,TP-120,EXT-02,A,PA12,6.0,2.0,2.0,0.1,0.1,0.1,2,SS Wire,Yes,8.82,-0.5471,52.32,178.64,198.05,199.37,206.36,155.05,15.695,15.847,18.27,0.0933,5.954,1.989,1.978,-0.046,-0.011,-0.022,1,Pass,None
2026-01-01 02:24:00,B100048,TP-112,EXT-01,A,Hytrel,6.0,1.0,2.5,0.1,0.1,0.12,3,Aramid,Yes,8.881,-0.5826,50.53,170.74,186.54,197.78,196.96,183.85,16.998,16.697,20.62,0.0449,5.996,1.002,2.5,-0.004,0.002,0.0,0,Pass,None
2026-01-01 02:27:00,B100049,TP-105,EXT-02,A,PA12,12.0,8.0,2.0,0.15,0.15,0.15,0,None,No,12.0,-0.6449,55.95,187.86,194.27,206.64,205.75,168.96,12.884,13.413,24.79,0.0547,12.037,8.062,1.977,0.037,0.062,-0.023,1,Pass,None
2026-01-01 02:30:00,B100050,TP-101,EXT-01,A,PA12,4.0,1.5,1.25,0.1,0.1,0.12,0,None,Yes,5.754,-0.4808,45.79,183.37,190.21,208.82,206.73,132.77,18.538,18.856,20.32,0.0716,4.064,1.584,1.243,0.064,0.084,-0.007,4,Pass,None
2026-01-01 02:33:00,B100051,TP-103,EXT-02,A,PA12,6.0,2.0,2.0,0.1,0.1,0.1,0,None,Yes,7.013,-0.5454,47.2,180.42,201.79,203.78,208.72,148.49,14.362,14.077,21.54,0.0829,6.013,1.956,2.026,0.013,-0.044,0.026,0,Pass,None
2026-01-01 02:36:00,B100052,TP-104,EXT-03,B,PU,4.0,1.5,1.25,0.1,0.1,0.15,2,Aramid,No,5.639,-0.4351,41.87,165.32,180.99,183.81,186.9,155.41,18.473,18.407,25.61,0.0856,3.869,1.413,1.22,-0.131,-0.087,-0.03,1,Fail,OD Out of Tolerance
2026-01-01 02:39:00,B100053,TP-119,EXT-02,C,Hytrel,12.0,10.0,1.0,0.15,0.15,0.15,3,Polyester,Yes,14.42,-0.6316,65.63,178.12,184.78,193.83,201.42,173.18,14.098,13.411,20.28,0.0999,12.049,10.076,1.017,0.049,0.076,0.017,1,Pass,None
2026-01-01 02:42:00,B100054,TP-104,EXT-02,C,PU,10.0,6.0,2.0,0.15,0.15,0.15,0,None,Yes,10.724,-0.632,60.41,168.66,180.73,190.74,191.48,202.83,15.826,16.151,29.64,0.0231,9.953,5.94,2.004,-0.047,-0.06,0.004,0,Pass,None
2026-01-01 02:45:00,B100055,TP-104,EXT-01,C,PU,4.0,1.5,1.25,0.1,0.1,0.15,1,Polyester,Yes,5.619,-0.4596,46.18,166.88,173.9,186.13,178.48,141.15,15.226,14.778,24.23,0.087,4.085,1.591,1.24,0.085,0.091,-0.01,2,Pass,None
2026-01-01 02:48:00,B100056,TP-117,EXT-03,C,PA11,16.0,14.0,1.0,0.2,0.2,0.1,2,SS Wire,No,17.593,-0.6781,66.16,191.76,201.77,204.02,207.27,213.82,13.978,13.79,22.19,0.0703,15.911,13.933,0.968,-0.089,-0.067,-0.032,1,Pass,None
2026-01-01 02:51:00,B100057,TP-118,EXT-02,B,Hytrel,12.0,9.0,1.5,0.15,0.15,0.1,2,Polyester,Yes,13.99,-0.6891,60.75,174.85,185.88,197.58,188.38,208.9,14.062,13.96,21.38,0.0546,12.004,8.873,1.556,0.004,-0.127,0.056,0,Pass,None
2026-01-01 02:54:00,B100058,TP-105,EXT-02,C,PA12,16.0,14.0,1.0,0.2,0.2,0.08,1,Polyester,Yes,18.34,-0.7071,76.11,189.54,196.89,203.15,206.9,183.36,13.191,12.709,25.36,0.0788,16.119,14.003,1.067,0.119,0.003,0.067,1,Pass,None
2026-01-01 02:57:00,B100059,TP-114,EXT-01,A,PA12,6.0,3.0,1.5,0.1,0.1,0.1,1,Polyester,Yes,7.466,-0.5208,54.76,186.29,200.58,209.34,206.66,151.55,13.934,13.642,20.27,0.1059,6.109,2.86,1.606,0.109,-0.14,0.106,2,Fail,Wall Thickness Variation
2026-01-01 03:00:00,B100060,TP-111,EXT-01,C,Hytrel,20.0,17.5,1.25,0.2,0.2,0.12,0,None,No,20.0,-0.8102,74.17,176.69,186.39,197.16,198.6,237.58,8.763,8.893,20.92,0.0472,20.216,17.545,1.321,0.216,0.045,0.071,2,Fail,OD Out of Tolerance
2026-01-01 03:03:00,B100061,TP-112,EXT-01,A,PA11,6.0,1.0,2.5,0.1,0.1,0.12,0,None,Yes,6.79,-0.5998,50.59,196.15,201.64,214.96,216.37,171.56,16.598,16.423,26.02,0.1316,6.081,0.992,2.557,0.081,-0.008,0.057,0,Pass,None
2026-01-01 03:06:00,B100062,TP-107,EXT-03,C,Hytrel,10.0,5.0,2.5,0.15,0.15,0.08,0,None,No,10.0,-0.7101,53.83,180.17,190.97,199.16,197.83,166.65,17.976,18.281,21.06,0.1173,10.076,5.181,2.443,0.076,0.181,-0.057,3,Fail,ID Out of Tolerance
2026-01-01 03:09:00,B100063,TP-116,EXT-03,A,PU,10.0,7.5,1.25,0.15,0.15,0.15,1,SS Wire,Yes,11.452,-0.7335,62.91,166.26,178.25,188.75,185.59,187.54,16.449,16.709,20.83,0.0827,10.221,7.496,1.356,0.221,-0.004,0.106,4,Fail,OD Out of Tolerance
2026-01-01 03:12:00,B100064,TP-118,EXT-01,A,Hytrel,6.0,2.0,2.0,0.1,0.1,0.08,2,Polyester,Yes,9.194,-0.5748,53.66,175.69,185.63,199.54,197.98,162.86,17.534,17.237,20.34,0.0404,6.035,1.905,2.066,0.035,-0.095,0.066,0,Pass,None
2026-01-01 03:15:00,B100065,TP-115,EXT-01,B,Hytrel,8.0,6.0,1.0,0.1,0.1,0.08,2,Polyester,No,9.018,-0.5533,49.05,175.66,188.96,198.26,196.02,163.31,14.736,14.577,17.17,0.1846,8.113,6.0,1.071,0.113,-0.0,0.071,4,Fail,OD Out of Tolerance
2026-01-01 03:18:00,B100066,TP-119,EXT-03,C,Hytrel,4.0,2.0,1.0,0.1,0.1,0.12,2,SS Wire,Yes,6.454,-0.5363,49.87,168.91,191.97,192.22,192.09,135.02,16.209,16.05,24.54,0.0796,4.172,1.908,1.12,0.172,-0.092,0.12,3,Fail,Wall Thickness Variation
2026-01-01 03:21:00,B100067,TP-103,EXT-02,A,PA11,10.0,8.0,1.0,0.15,0.15,0.08,0,None,Yes,10.783,-0.533,60.19,196.39,207.22,205.43,216.83,114.73,15.998,15.857,21.89,0.0748,9.981,8.147,0.941,-0.019,0.147,-0.059,0,Pass,None
2026-01-01 03:24:00,B100068,TP-114,EXT-01,A,PA12,12.0,7.0,2.5,0.15,0.15,0.15,2,SS Wire,Yes,14.623,-0.7306,48.32,184.26,192.7,201.68,209.7,210.82,15.861,16.377,24.67,0.0737,11.952,6.981,2.487,-0.048,-0.019,-0.013,1,Pass,None
2026-01-01 03:27:00,B100069,TP-120,EXT-02,B,PA11,8.0,3.0,2.5,0.1,0.1,0.08,1,Aramid,No,8.598,-0.5704,48.59,195.42,197.9,212.92,218.8,189.58,16.776,16.843,21.58,0.0898,7.935,3.018,2.458,-0.065,0.018,-0.042,1,Pass,None
2026-01-01 03:30:00,B100070,TP-111,EXT-01,C,PA12,10.0,8.0,1.0,0.15,0.15,0.08,2,Polyester,Yes,13.192,-0.5762,57.81,187.17,202.0,196.11,203.05,164.41,18.577,17.996,20.94,0.1062,9.914,8.068,0.931,-0.086,0.068,-0.069,3,Pass,None
2026-01-01 03:33:00,B100071,TP-119,EXT-01,C,PA11,20.0,18.5,0.75,0.2,0.2,0.15,2,Aramid,No,21.21,-0.6683,60.38,197.57,201.85,209.94,206.54,197.28,9.772,9.542,20.34,0.0692,19.857,18.442,0.681,-0.143,-0.058,-0.069,0,Pass,None
2026-01-01 03:36:00,B100072,TP-107,EXT-02,B,PU,6.0,2.0,2.0,0.1,0.1,0.1,2,SS Wire,Yes,8.631,-0.5337,41.57,169.12,169.2,183.94,184.26,152.36,17.623,17.461,23.71,0.04,5.973,2.11,1.935,-0.027,0.11,-0.065,3,Fail,ID Out of Tolerance
2026-01-01 03:39:00,B100073,TP-118,EXT-03,B,PA12,8.0,3.0,2.5,0.1,0.1,0.12,1,Aramid,No,8.53,-0.6766,51.85,190.65,195.08,209.9,209.6,196.91,13.352,13.501,19.99,0.1115,8.185,3.069,2.56,0.185,0.069,0.06,2,Fail,OD Out of Tolerance
2026-01-01 03:42:00,B100074,TP-119,EXT-03,B,PA12,4.0,2.0,1.0,0.1,0.1,0.12,1,SS Wire,No,4.452,-0.4396,50.06,184.63,196.24,204.53,211.44,131.66,18.58,19.211,22.96,0.0485,3.97,2.066,0.975,-0.03,0.066,-0.025,0,Pass,None
2026-01-01 03:45:00,B100075,TP-113,EXT-01,C,PA12,10.0,8.5,0.75,0.15,0.15,0.08,2,Aramid,No,11.04,-0.5099,58.69,181.86,196.75,203.53,209.15,169.41,18.145,18.42,22.1,0.0445,9.906,8.528,0.718,-0.094,0.028,-0.032,0,Pass,None
2026-01-01 03:48:00,B100076,TP-115,EXT-02,A,PA12,6.0,3.0,1.5,0.1,0.1,0.12,3,SS Wire,Yes,9.944,-0.6202,58.31,187.59,201.06,210.26,208.57,150.0,15.425,15.39,19.39,0.068,6.143,2.91,1.619,0.143,-0.09,0.119,2,Fail,OD Out of Tolerance
2026-01-01 03:51:00,B100077,TP-111,EXT-03,A,Hytrel,16.0,13.5,1.25,0.2,0.2,0.12,2,Aramid,Yes,18.624,-0.683,64.81,169.33,184.28,194.63,201.42,213.68,14.316,14.018,20.88,0.057,15.952,13.422,1.266,-0.048,-0.078,0.016,2,Pass,None
2026-01-01 03:54:00,B100078,TP-107,EXT-03,A,Hytrel,8.0,3.0,2.5,0.1,0.1,0.08,0,None,No,8.0,-0.5728,51.34,175.13,191.74,193.99,196.16,155.3,18.994,19.491,22.03,0.0831,7.917,2.979,2.467,-0.083,-0.021,-0.033,2,Pass,None
2026-01-01 03:57:00,B100079,TP-111,EXT-03,A,PU,12.0,8.0,2.0,0.15,0.15,0.15,2,Aramid,Yes,14.641,-0.6756,52.26,162.24,179.14,183.04,192.23,191.36,13.359,13.255,21.22,,11.98,8.004,1.987,-0.02,0.004,-0.013,3,Pass,None
2026-01-01 04:00:00,B100080,TP-120,EXT-01,B,Hytrel,6.0,2.0,2.0,0.1,0.1,0.15,0,None,Yes,7.326,-0.667,48.48,173.64,182.85,196.14,205.94,181.73,18.14,17.643,26.74,0.0567,6.082,1.973,2.049,0.082,-0.027,0.049,3,Pass,None
2026-01-01 04:03:00,B100081,TP-101,EXT-01,C,PA11,8.0,5.5,1.25,0.1,0.1,0.15,1,Aramid,No,8.575,-0.5811,56.74,194.38,201.72,208.67,208.75,147.49,19.243,19.369,22.59,0.0739,7.956,5.442,1.27,-0.044,-0.058,0.02,0,Pass,None
2026-01-01 04:06:00,B100082,TP-105,EXT-01,B,PU,6.0,4.0,1.0,0.1,0.1,0.08,1,SS Wire,Yes,7.64,-0.5491,54.16,169.12,179.98,183.69,186.98,145.05,17.715,17.282,21.51,0.0563,6.09,4.045,1.04,0.09,0.045,0.04,0,Pass,None
2026-01-01 04:09:00,B100083,TP-110,EXT-01,B,PA12,10.0,6.0,2.0,0.15,0.15,0.08,2,Polyester,No,11.123,-0.5612,57.32,186.35,198.16,210.8,202.44,202.95,16.916,17.147,21.09,0.0988,9.989,6.026,1.997,-0.011,0.026,-0.003,3,Pass,None
2026-01-01 04:12:00,B100084,TP-107,EXT-01,A,PA12,4.0,2.5,0.75,0.1,0.1,0.15,2,Aramid,No,5.282,-0.4822,50.34,188.28,199.52,205.2,204.14,149.44,15.007,14.869,21.43,0.0873,4.1,2.334,0.899,0.1,-0.166,0.149,1,Fail,ID Out of Tolerance
